file_path,contains,plot_needed,recommended_plot_type,reason,status_before,companion_plots
outputs/data/master_table.csv,"Aligned observation-level dataset with time, mapping, targets, and image linkage.",yes,"progression lines, distribution panels, missingness plot","This is the main data table and needs temporal, structural, and outlier views.",existing plot weak,outputs/diagnostics/figures/temporal/surface_progression_scatter_trends.png; outputs/diagnostics/figures/temporal/campaign_surface_progression_median_iqr.png; outputs/diagnostics/figures/distributions/target_histograms_full_range.png
outputs/data/terminal_structural_table.csv,Terminal structural subset with one labelled row per specimen.,yes,"campaign violin/boxplot, structural benchmark plots",This table shows the sparsity and cross-campaign structural contrast.,new plot required,outputs/diagnostics/figures/distributions/campaign_violin_diagnostics.png; outputs/diagnostics/figures/benchmarks/hidden_damage_best_model_strategy_robustness.png
outputs/data/full_feature_table.csv,Merged master table and interpretable image features.,yes,"missingness heatmap, feature correlation heatmaps",This is the main modeling table and needs transparent feature diagnostics.,new plot required,outputs/diagnostics/figures/features/full_feature_missingness_heatmap.png; outputs/diagnostics/figures/features/image_feature_correlation_heatmap.png; outputs/diagnostics/figures/features/feature_target_correlation_heatmap.png
outputs/features/image_features.csv,Raw interpretable image-feature table with identifiers.,yes,"feature correlation heatmap, skewed distribution plots","Image features need outlier, duplicate, and collinearity diagnostics.",new plot required,outputs/diagnostics/figures/features/image_feature_correlation_heatmap.png; outputs/diagnostics/figures/distributions/skewed_variable_histograms_trimmed_p99.png
outputs/features/feature_dictionary.csv,Textual feature definitions and extraction notes.,no,none,This is reference documentation rather than numeric output; a table is the right form.,existing plot sufficient,
outputs/features/image_feature_failures.csv,Image-feature extraction failure log.,no,none,This is a sparse QA log; plotting it would not add clarity unless failures become numerous.,existing plot sufficient,
outputs/splits/*_summary.csv,Grouped split summaries for the full aligned dataset.,yes,split composition boxplots,"Split-size variation should be visible, not only tabulated.",new plot required,outputs/diagnostics/figures/benchmarks/split_strategy_overview.png
outputs/splits/*.csv,Row-wise split membership manifests for the full aligned dataset.,no,none,"These are transactional membership tables; the plot-worthy content is their derived composition, which is shown in the split overview figure.",existing plot sufficient,outputs/diagnostics/figures/benchmarks/split_strategy_overview.png
outputs/models/surface/*/*/*_summary.csv,Surface benchmark summary metrics.,yes,model-comparison bar plots and best-model robustness plots,Model stability and strategy robustness matter more than the nominal winner.,existing plot weak,outputs/diagnostics/figures/benchmarks/surface_group_shuffle_model_comparison_mae.png; outputs/diagnostics/figures/benchmarks/surface_best_model_strategy_robustness.png
outputs/models/surface/best_models.csv,Per-target surface-stage winner table with benchmark note.,yes,strategy-robustness plot and rank heatmap,The winner table alone hides whether the result is stable or scientifically meaningful.,existing plot weak,outputs/diagnostics/figures/benchmarks/surface_best_model_strategy_robustness.png; outputs/diagnostics/figures/benchmarks/group_shuffle_model_rank_heatmap.png
outputs/models/surface/*/*/*_fold_metrics.csv,Fold-level surface benchmark metrics.,yes,fold-wise stability lines,Fold variability is critical for interpreting stability.,new plot required,outputs/diagnostics/figures/benchmarks/surface_best_model_fold_stability.png
outputs/models/surface/*/*/*_predictions.csv,Surface-stage saved out-of-split predictions by model and split.,yes,predicted-vs-observed scatter and residual boxplots,Prediction tables are easier to interpret when error shape and dispersion are visible.,new plot required,outputs/diagnostics/figures/benchmarks/predictions/surface/..._prediction_diagnostics.png
outputs/models/surface/*/*/*_feature_importance.csv,Surface-stage feature-importance tables.,yes,ranked horizontal bar plots,"Importance CSVs should have an immediate visual ranking, even when interpretation remains conservative.",existing plot weak,outputs/diagnostics/figures/benchmarks/feature_importance/surface/..._feature_importance_ranked.png
outputs/models/hidden_damage/*/*/*_summary.csv,Hidden-damage benchmark summary metrics.,yes,grouped model-comparison bars and robustness plots,These results are weak and need visual emphasis on collapse and instability.,new plot required,outputs/diagnostics/figures/benchmarks/hidden_damage_group_shuffle_model_comparison_mae.png; outputs/diagnostics/figures/benchmarks/hidden_damage_best_model_strategy_robustness.png; outputs/diagnostics/figures/benchmarks/best_model_relative_mae_collapse_heatmap.png
outputs/models/hidden_damage/best_models.csv,Per-target hidden-damage winner table.,yes,strategy-robustness plot and rank heatmap,The winner table is not enough because this stage is small-sample and unstable across splits.,new plot required,outputs/diagnostics/figures/benchmarks/hidden_damage_best_model_strategy_robustness.png; outputs/diagnostics/figures/benchmarks/group_shuffle_model_rank_heatmap.png
outputs/models/hidden_damage/*/*/*_fold_metrics.csv,Fold-level hidden-damage benchmark metrics.,yes,fold-wise stability lines,This stage is underpowered and needs explicit variance diagnostics.,new plot required,outputs/diagnostics/figures/benchmarks/hidden_damage_best_model_fold_stability.png
outputs/models/hidden_damage/*/*/*_predictions.csv,Hidden-damage saved out-of-split predictions by model and split.,yes,predicted-vs-observed scatter and residual boxplots,The prediction spread is important for understanding how weak the structural stage is.,new plot required,outputs/diagnostics/figures/benchmarks/predictions/hidden_damage/..._prediction_diagnostics.png
outputs/models/hidden_damage/*/*/*_feature_importance.csv,Hidden-damage feature-importance tables.,yes,ranked horizontal bar plots,"Importance rankings are easier to review visually, but must be shown alongside weakness diagnostics.",existing plot weak,outputs/diagnostics/figures/benchmarks/feature_importance/hidden_damage/..._feature_importance_ranked.png
outputs/models/degradation/full_feature_table_with_hidden_damage_proxy.csv,Longitudinal table augmented with hidden-damage proxy values used by degradation modelling.,yes,"distribution, temporal trend, and observed-vs-fitted plots",This table links the prediction and trajectory stages and must be visually checked.,new plot required,outputs/diagnostics/figures/distributions/selected_variable_percentile_curves.png; outputs/diagnostics/figures/temporal/surface_progression_scatter_trends.png; outputs/diagnostics/figures/degradation/degradation_observed_vs_fitted_scatter.png
outputs/models/degradation/degradation_best_fits.csv,Best degradation family per specimen.,yes,family count bar chart,Family selection should be visible and easy to discuss.,existing plot weak,outputs/diagnostics/figures/degradation/degradation_best_family_counts.png
