document,file,line,kind,numbers,numeric_matches,text
report_v2/thesis/thesis.tex,report_v2/thesis/thesis.tex,17,typographic/notation,.3,"{"".3"": [""main_4/outputs/models/hidden_damage/best_models.csv"", ""main_4/outputs/models/proxy_rul/proxy_rul_summary.json | main_4/outputs/models/proxy_rul/proxy_rul_estimates.csv"", ""main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_feature_set_comparison.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/feature_set_comparison.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/leave_one_campaign_out/feature_set_comparison.csv""]}",\pagestyle{fancy}\fancyhf{}\fancyhead[L]{\small\nouppercase{\leftmark}}\fancyfoot[C]{\thepage}\renewcommand{\headrulewidth}{.3pt}
report_v2/thesis/thesis.tex,report_v2/thesis/thesis.tex,30,typographic/notation,16 | 2026,"{""16"": [""main_4/outputs/data/master_table.csv""]}",{\draftversion\quad |\quad 16 September 2026\par}\vspace{8mm}
report_v2/thesis/thesis.tex,report_v2/thesis/chapters/00_abstract.tex,3,scientific prose/table/caption,48 | 791,"{""48"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/models/degradation/degradation_best_fits.csv"", ""main_4/outputs/models/proxy_rul/proxy_rul_summary.json | main_4/outputs/models/proxy_rul/proxy_rul_estimates.csv"", ""main_4/outputs/ultimate_load_refocus/data/specimen_summary_table.csv | main_4/outputs/ultimate_load_refocus/correlations/mesh_stratified_corrosion_vs_ultimate_load.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/experiments/hsv_only/CatBoost/fold_metrics.csv | main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/experiments/hsv_only/CatBoost/terminal_fold_predictions.csv""], ""791"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/data/master_table.csv | main_4/outputs/features/image_features.csv""]}","Photographs can reveal visible corrosion without establishing either internal damage or remaining service life. This technical activity examines that distinction in ferrocement using a predecessor dataset of 48 specimens from two experimental campaigns. The current aligned basis contains 791 readable photographic observations, but wire-area loss and ultimate load are each measured only once per specimen, at terminal testing. Campaign identity is aligned with mesh configuration, chloride concentration, and terminal exposure duration."
report_v2/thesis/thesis.tex,report_v2/thesis/chapters/00_abstract.tex,5,scientific prose/table/caption,0.9996,"{""0.9996"": [""main_4/outputs/data/master_table.csv | main_4/outputs/features/image_features.csv""]}","Saved experiments are synthesized by scientific question and independently checked through their tables, predictions, and split manifests. Classical colour features, frozen residual-network embeddings, and interpretable image descriptors support visible-corrosion estimation under specimen-grouped evaluation. Some strong results are label-adjacent: total-rust coverage and a rust-area feature have Spearman correlation 0.9996. This limits their interpretation as independent predictive discovery."
report_v2/thesis/thesis.tex,report_v2/thesis/chapters/00_abstract.tex,7,scientific prose/table/caption,0.173 | 0.046 | 48 | 2,"{""0.173"": [""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/feature_set_comparison.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_post_onset/grouped_cv/selected_best_model_per_feature_set.csv"", ""main_4/outputs/ultimate_load_refocus/residual_refinement/model_comparison.csv | main_4/outputs/ultimate_load_refocus/residual_refinement/best_model.csv"", ""report_v2/evidence/paired_diagnostics.json"", ""report_v2/tables/paired_specimen_errors.csv""], ""0.046"": [""main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_feature_set_comparison.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/feature_set_comparison.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/leave_one_campaign_out/feature_set_comparison.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_post_onset/grouped_cv/selected_best_model_per_feature_set.csv"", ""report_v2/tables/loco_capacity.csv""], ""48"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/models/degradation/degradation_best_fits.csv"", ""main_4/outputs/models/proxy_rul/proxy_rul_summary.json | main_4/outputs/models/proxy_rul/proxy_rul_estimates.csv"", ""main_4/outputs/ultimate_load_refocus/data/specimen_summary_table.csv | main_4/outputs/ultimate_load_refocus/correlations/mesh_stratified_corrosion_vs_ultimate_load.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/experiments/hsv_only/CatBoost/fold_metrics.csv | main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/experiments/hsv_only/CatBoost/terminal_fold_predictions.csv""], ""2"": [""main/reports/current_corrosion_metrics.csv"", ""main_4/outputs/data/master_table.csv"", ""main_4/outputs/diagnostics/tables/benchmark_best_model_robustness.csv | main_3/outputs/corrosion_regression_metrics.csv | main_3/outputs/damage_regression_metrics.csv"", ""main_4/outputs/models/proxy_rul/proxy_rul_estimates.csv"", ""main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_feature_set_comparison.csv""]}","The focused terminal-load experiment compares image-only, metadata-only, and combined feature families. A metadata-only Ridge model has mean terminal-test MAE of 0.173\,kN, with fold standard deviation 0.046\,kN, across ten folds covering 48 specimens. Adding image descriptors does not establish a reliable pooled improvement. A post-onset sensitivity analysis has a limited gain in MAE for a combined configuration, without uniformly better ranking. Within each mesh family, every selected feature-set model has negative mean test $R^2$. Campaign exclusion is a severe extrapolation stress test, not an ordinary estimate of deployment performance."
report_v2/thesis/thesis.tex,report_v2/thesis/chapters/03_dataset.tex,5,scientific prose/table/caption,791 | 48 | 792 | 15 | 18 | 16 | 0 | 36 | 25,"{""791"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/data/master_table.csv | main_4/outputs/features/image_features.csv""], ""48"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/models/degradation/degradation_best_fits.csv"", ""main_4/outputs/models/proxy_rul/proxy_rul_summary.json | main_4/outputs/models/proxy_rul/proxy_rul_estimates.csv"", ""main_4/outputs/ultimate_load_refocus/data/specimen_summary_table.csv | main_4/outputs/ultimate_load_refocus/correlations/mesh_stratified_corrosion_vs_ultimate_load.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/experiments/hsv_only/CatBoost/fold_metrics.csv | main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/experiments/hsv_only/CatBoost/terminal_fold_predictions.csv""], ""792"": [""Data/Images_dataset.zip"", ""main_2/reports/predictions_best_model.csv"", ""main_4/outputs/audit/verified_facts.json"", ""report_v2/evidence/paired_diagnostics.json""], ""15"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/models/proxy_rul/proxy_rul_summary.json | main_4/outputs/models/proxy_rul/proxy_rul_estimates.csv"", ""report_v2/tables/interpretable_regime_winners.csv"", ""report_v2/tables/threshold_status.csv"", ""report_v2/tables/threshold_summary.csv""], ""18"": [""main_4/outputs/data/master_table.csv"", ""report_v2/tables/interpretable_regime_winners.csv""], ""16"": [""main_4/outputs/data/master_table.csv""], ""0"": [""Data/splits/train_manifest.csv | Data/splits/val_manifest.csv | Data/splits/test_manifest.csv"", ""main_2/reports/model_comparison.csv"", ""main_4/outputs/data/master_table.csv"", ""main_4/outputs/data/master_table.csv | main_4/outputs/features/image_features.csv"", ""main_4/outputs/models/hidden_damage/best_models.csv""], ""36"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_feature_set_comparison.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/feature_set_comparison.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/leave_one_campaign_out/feature_set_comparison.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_post_onset/grouped_cv/selected_best_model_per_feature_set.csv""], ""25"": [""main_4/outputs/data/master_table.csv""]}","The current aligned dataset contains 791 photographic observations from 48 physical specimens. The raw archive contains 792 PNG files; one is unreadable. Independent archive verification reproduced the saved readability audit. Specimens have 15--18 retained observations, with a median of 16, across an overall range of weeks 0--36. These observations span 25 distinct week values, reflecting the combined schedules rather than a common uniformly sampled sequence."
report_v2/thesis/thesis.tex,report_v2/thesis/chapters/03_dataset.tex,9,scientific prose/table/caption,791 | 48,"{""791"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/data/master_table.csv | main_4/outputs/features/image_features.csv""], ""48"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/models/degradation/degradation_best_fits.csv"", ""main_4/outputs/models/proxy_rul/proxy_rul_summary.json | main_4/outputs/models/proxy_rul/proxy_rul_estimates.csv"", ""main_4/outputs/ultimate_load_refocus/data/specimen_summary_table.csv | main_4/outputs/ultimate_load_refocus/correlations/mesh_stratified_corrosion_vs_ultimate_load.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/experiments/hsv_only/CatBoost/fold_metrics.csv | main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/experiments/hsv_only/CatBoost/terminal_fold_predictions.csv""]}","\fig{dataset_supervision}{1}{Dataset and supervision structure on the current aligned basis. There are 791 readable photographs across 48 specimens. Visible total-rust and peak-rust labels accompany repeated observations; wire-area loss and ultimate load are each measured once per specimen at terminal testing. Arrows summarize acquisition and label availability, not a causal model. Counts are reproduced from the saved aligned table.}{fig:supervision}"
report_v2/thesis/thesis.tex,report_v2/thesis/chapters/03_dataset.tex,12,scientific prose/table/caption,24,"{""24"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/ultimate_load_refocus/data/specimen_summary_table.csv | main_4/outputs/ultimate_load_refocus/correlations/mesh_stratified_corrosion_vs_ultimate_load.csv"", ""main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_feature_set_comparison.csv"", ""report_v2/tables/campaign_design.csv"", ""report_v2/tables/correlations_recomputed.csv""]}","There are two campaigns with 24 specimens each. Table~\ref{tab:design} records the observed combinations of the main design and exposure variables. Treatment protocols vary within campaigns, so these are two campaign-level combinations of selected factors, not two identical sets of specimens."
report_v2/thesis/thesis.tex,report_v2/thesis/chapters/03_dataset.tex,14,scientific prose/table/caption,48,"{""48"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/models/degradation/degradation_best_fits.csv"", ""main_4/outputs/models/proxy_rul/proxy_rul_summary.json | main_4/outputs/models/proxy_rul/proxy_rul_estimates.csv"", ""main_4/outputs/ultimate_load_refocus/data/specimen_summary_table.csv | main_4/outputs/ultimate_load_refocus/correlations/mesh_stratified_corrosion_vs_ultimate_load.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/experiments/hsv_only/CatBoost/fold_metrics.csv | main_4/outputs/ultimate_load_refocus/pooled_all_weeks/grouped_cv/experiments/hsv_only/CatBoost/terminal_fold_predictions.csv""]}","\caption{Observed campaign-level design combinations for all 48 specimens. Mesh count, chloride concentration, and terminal exposure do not vary independently across campaigns. Exposure days here are derived from the recorded terminal week; they are not a claim about failure time.}\label{tab:design}"
report_v2/thesis/thesis.tex,report_v2/thesis/chapters/03_dataset.tex,17,typographic/notation,1 | 24 | 7 | 3.5 | 28 | 196,"{""1"": [""Data/splits/train_manifest.csv | Data/splits/val_manifest.csv | Data/splits/test_manifest.csv"", ""main/reports/current_corrosion_metrics.csv"", ""main_2/reports/model_comparison.csv"", ""main_4/outputs/data/master_table.csv"", ""main_4/outputs/data/master_table.csv | main_4/outputs/features/image_features.csv""], ""24"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/ultimate_load_refocus/data/specimen_summary_table.csv | main_4/outputs/ultimate_load_refocus/correlations/mesh_stratified_corrosion_vs_ultimate_load.csv"", ""main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_feature_set_comparison.csv"", ""report_v2/tables/campaign_design.csv"", ""report_v2/tables/correlations_recomputed.csv""], ""7"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/ultimate_load_refocus/pooled_all_weeks/leave_one_campaign_out/feature_set_comparison.csv"", ""report_v2/tables/campaign_design.csv"", ""report_v2/tables/interpretable_regime_winners.csv"", ""report_v2/tables/loco_capacity.csv""], ""3.5"": [""main_4/outputs/data/master_table.csv"", ""report_v2/tables/campaign_design.csv""], ""28"": [""main_4/outputs/data/master_table.csv"", ""main_4/outputs/ultimate_load_refocus/residual_refinement/model_comparison.csv | main_4/outputs/ultimate_load_refocus/residual_refinement/best_model.csv"", ""report_v2/tables/campaign_design.csv""], ""196"": [""main_4/outputs/data/master_table.csv"", ""report_v2/tables/campaign_design.csv""]}",1 & 24 & 7 & 3.5 & 28 (196)\\
